COMPANY;CATEGORY;DESCRIPTION
UBS;Diversified financials;"The University of Basel (Latin: Universitas Basiliensis; German: Universität Basel) is a public research university in Basel, Switzerland. Founded on 4 April 1460, it is Switzerland's oldest university and among the world's oldest universities."
ING Group;Diversified financials;"Error: Page id ""img group"" does not match any pages. Try another id!"
Royal Dutch/Shell Group;Oil & gas operations;"Error: Page id ""shell pl"" does not match any pages. Try another id!"
Berkshire Hathaway;Insurance;"Berkshire Hathaway Inc. () is an American multinational conglomerate holding company headquartered in Omaha, Nebraska. Originally a textile manufacturer, the company transitioned into a conglomerate starting in 1965 under the management of chairman and CEO Warren Buffett and vice chairman Charlie Munger (from 1978 to 2023). Greg Abel now oversees most of the company's investments and has been named as the successor to Buffett. Buffett personally owns 38.4% of the Class A voting shares of Berkshire Hathaway, representing a 15.1% overall economic interest in the company.
The company is often compared to an investment fund; between 1965, when Buffett gained control of the company, and 2023, the company's shareholder returns amounted to a compound annual growth rate (CAGR) of 19.8% compared to a 10.2% CAGR for the S&P 500. However, in the 10 years ending in 2023, Berkshire Hathaway produced a CAGR of 11.8% for shareholders, compared to a 12.0% CAGR for the S&P 500. From 1965 to 2023, the stock price had negative performance in only eleven years. In August 2024, Berkshire Hathaway became the eighth U.S. public company and the first non-technology company to be valued at over $1 trillion on the list of public corporations by market capitalization.
Berkshire Hathaway is ranked 5th on the Fortune 500 rankings of the largest United States corporations by total revenue and 9th on the Fortune Global 500."
JP Morgan Chase;Banking;"Error: Page id ""j morgan chase"" does not match any pages. Try another id!"
IBM;Technology hardware & equipment;"Im Chang-kyun (Korean: 임창균; born January 26, 1996), known by the stage name I.M or mononymously as Changkyun, is a South Korean rapper, singer, songwriter, and producer. He is a member of South Korean boy group Monsta X under Starship Entertainment."
Total;Oil & gas operations;"In mathematics, summation is the addition of a sequence of numbers, called addends or summands; the result is their sum or total. Beside numbers, other types of values can be summed as well: functions, vectors, matrices, polynomials and, in general, elements of any type of mathematical objects on which an operation denoted ""+"" is defined."
BNP Paribas;Banking;"BNP Paribas (French pronunciation: [beɛnpe paʁiba]; sometimes referred to as BNPP or BNP) is a French multinational universal bank and financial services holding company headquartered in Paris. It was founded in 2000 from the merger of two of France's foremost financial institutions, Banque Nationale de Paris (BNP) and Paribas. It also incorporates many other major institutions through successive acquisitions, including Fortis Bank in Belgium, Direkt Anlage Bank in Germany, Banca Nazionale del Lavoro in Italy, Banque Générale du Luxembourg in Luxembourg, and Türk Ekonomi Bankası in Turkey. The group has also been present in the United States through its subsidiaries Bank of the West until 2023 and First Hawaiian Bank until 2019. With 190,000 employees, the bank is organized into three major business areas: Commercial, Personal Banking & Services (CPBS); Investment & Protection Services (IPS); and Corporate & Institutional Banking (CIB).
BNP Paribas is listed on Euronext Paris and is a component of the Euro Stoxx 50 stock market index. It is the second largest bank in Europe and eighth largest bank in the world by total assets. It became one of the five largest banks in the world following the 2008 financial crisis. It is considered a systemically important bank by the Financial Stability Board. In the Forbes Global 2000, BNP Paribas was ranked as the 33rd largest public company in the world."
Royal Bank of Scotland;Banking;"The Royal Bank of Scotland Public Limited Company (Scottish Gaelic: Banca Rìoghail na h-Alba) is a major retail and commercial bank in Scotland. It is one of the retail banking subsidiaries of NatWest Group, together with NatWest and Ulster Bank. The Royal Bank of Scotland has around 700 branches, mainly in Scotland, though there are branches in many larger towns and cities throughout England and Wales. The bank is completely separate from the fellow Edinburgh-based bank, the Bank of Scotland, which pre-dates the Royal Bank by 32 years. The Royal Bank of Scotland was established to provide a bank with strong Hanoverian and Whig ties.
Following ringfencing of the Group's core domestic business, the bank became a direct subsidiary of NatWest Holdings in 2019. NatWest Markets comprises the Group's investment banking arm. To give it legal form, the former RBS entity was renamed NatWest Markets in 2018; at the same time Adam and Company (which held a separate PRA banking licence) was renamed The Royal Bank of Scotland, with Adam and Company continuing as an RBS private banking brand until 2022.


== History ==


=== Foundation ===
The bank traces its origin to the Society of the Subscribed Equivalent Debt, which was set up by investors in the failed Company of Scotland to protect the compensation they received as part of the arrangements of the 1707 Acts of Union.  The ""Equivalent Society"" became the ""Equivalent Company"" on 21 November 1724, and the new company wished to move into banking."
Freddie Mac;Diversified financials;"Error: Page id ""freddie may"" does not match any pages. Try another id!"
DaimlerChrysler;Consumer durables;"Mercedes-Benz Group AG (formerly Daimler-Benz, DaimlerChrysler, and Daimler) is a German multinational automotive company headquartered in Stuttgart, Baden-Württemberg, Germany. It is one of the world's leading car manufacturers. Daimler-Benz was formed with the merger of Benz & Cie., the world's oldest car company, and Daimler Motoren Gesellschaft in 1926. The company was renamed DaimlerChrysler upon the acquisition of the American automobile manufacturer, Chrysler Corporation in 1998, it was renamed to Daimler upon the divestment of Chrysler in 2007. In 2021, Daimler was the second-largest German automaker and the sixth-largest worldwide by production. In February 2022, Daimler was renamed Mercedes-Benz Group as part of a transaction that spun-off its commercial vehicle segment as an independent company, Daimler Truck.
The Mercedes-Benz Group's marques are Mercedes-Benz for cars and vans (including Mercedes-AMG and Mercedes-Maybach). It has shares in other vehicle manufacturers such as Daimler Truck, BAIC Motor and Aston Martin. Since 2019, Smart left Daimler AG and became a 50/50 joint venture with Geely.
By unit sales, the Mercedes-Benz Group is the tenth-largest car manufacturer in the world; shipping two million passenger vehicles in 2021 and by revenue the seventh-largest car manufacturer worldwide in 2023."
Altria Group;Food drink & tobacco;Altra College is a Dutch special education school with branches in Amsterdam, Hoofddorp, Purmerend, and  Krommenie. It specializes in teaching children who have problems dealing with fellow students, teachers, or parents, or have psychological problems.
ChevronTexaco;Oil & gas operations;"Chevron Corporation is an American multinational energy corporation predominantly specializing in oil and gas. The second-largest direct descendant of Standard Oil, and originally known as the Standard Oil Company of California (shortened to Socal or CalSo), it is active in more than 180 countries. Within oil and gas, Chevron is vertically integrated and is involved in hydrocarbon exploration, production, refining, marketing and transport, chemicals manufacturing and sales, and power generation.
Founded originally in Southern California during the 1870s, the company was then based for many decades in San Francisco, California, before moving its corporate offices to San Ramon, California, in 2001; on August 2, 2024, Chevron announced that it would be relocating its headquarters from California to Houston, Texas.
Chevron traces its history back to the second half of the 19th century to small California-based oil companies which were acquired by Standard and merged into Standard Oil of California. The company grew quickly on its own after the breakup of Standard Oil by continuing to acquire companies and partnering with others both inside and outside of California, eventually becoming one of the Seven Sisters that dominated the global petroleum industry from the mid-1940s to the 1970s.
In 1985, Socal merged with the Pittsburgh-based Gulf Oil and rebranded as Chevron; the newly merged company later merged with Texaco in 2001. Chevron manufactures and sells fuels, lubricants, additives, and petrochemicals, primarily in Western North America,  the US Gulf Coast, Southeast Asia, South Korea and Australia. In 2018, the company produced an average of 791,000 barrels (125,800 m3) of net oil-equivalent per day in United States.
Chevron is one of the largest companies in the world and the second-largest oil company based in the United States by revenue, only behind fellow Standard Oil descendant ExxonMobil."
Pfizer;Drugs & biotechnology;"Error: Page id ""prizer"" does not match any pages. Try another id!"
Wells Fargo;Banking;"Error: Page id ""wells cargo"" does not match any pages. Try another id!"
Verizon Commun;Telecommunications services;"Error: Page id ""amitav ghosh"" does not match any pages. Try another id!"
Barclays;Banking;"Barclays PLC (, occasionally ) is a British multinational universal bank, headquartered in London, England. Barclays operates as two divisions, Barclays UK and Barclays International, supported by a service company, Barclays Execution Services.
Barclays traces its origins to the goldsmith banking business established in the City of London in 1690. James Barclay became a partner in the business in 1736. In 1896, twelve banks in London and the English provinces, including Goslings Bank, Backhouse's Bank and Gurney, Peckover and Company, united as a joint-stock bank under the name Barclays and Co. Over the following decades, Barclays expanded to become a nationwide bank. In 1967, Barclays deployed the world's first cash dispenser. Barclays has made numerous corporate acquisitions, including of London, Provincial and South Western Bank in 1918, British Linen Bank in 1919, Mercantile Credit in 1975, the Woolwich in 2000 and the North American operations of Lehman Brothers in 2008.
Barclays has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has a secondary listing on the New York Stock Exchange."
Morgan Stanley;Diversified financials;"Morgan Stanley is an American multinational investment bank and financial services company headquartered at 1585 Broadway in Midtown Manhattan, New York City. With offices in 41 countries and more than 90,000 employees, the firm's clients include corporations, governments, institutions, and individuals. Morgan Stanley ranked No. 61 in the 2023 Fortune 500 list of the largest United States corporations by total revenue and in the same year ranked #30 in Forbes Global 2000.
The original Morgan Stanley, formed by J.P. Morgan & Co. partners Henry Sturgis Morgan (a grandson of J.P. Morgan), Harold Stanley, and others, came into existence on September 16, 1935, in response to the Glass–Steagall Act, which required the splitting of American commercial and investment banking businesses. In its first year, the company operated with a 24% market share (US$1.1 billion) in public offerings and private placements.
The current Morgan Stanley is the result of the merger of the original Morgan Stanley with Dean Witter Discover & Co. in 1997. Dean Witter's chairman and CEO, Philip J. Purcell, became the chairman and CEO of the newly merged ""Morgan Stanley Dean Witter Discover & Co."" The new firm changed its name back to ""Morgan Stanley"" in 2001."
General Motors;Consumer durables;"General Motors Company (GM) is an American multinational automotive manufacturing company headquartered in Detroit, Michigan, United States. The company is most known for owning and manufacturing four automobile brands: Chevrolet, Buick, GMC, and Cadillac, each a separate division of GM. By total sales, it has continuously been the largest automaker in the United States, and was the largest in the world for 77 years before losing the top spot to Toyota in 2008.
General Motors operates manufacturing plants in eight countries. In addition to its four core brands, GM also holds interests in Chinese brands Baojun and Wuling via SAIC-GM-Wuling Automobile. GM further owns a namesake defense vehicles division which produces military vehicles for the United States government and military, the vehicle safety, security, and information services provider OnStar, the auto parts company ACDelco, and a namesake financial lending service.
The company originated as a holding company for Buick established on September 16, 1908, by William C. Durant, the largest seller of horse-drawn vehicles at the time. The first half of the 20th century saw the company grow into an automotive behemoth through acquisitions; going into the second half, the company pursued innovation and new offerings to consumers as well as collaborations with NASA to develop electric vehicles. The current entity was established in 2009 after the General Motors Chapter 11 reorganization.
As of 2024, General Motors ranks 25th by total revenue out of all American companies on the Fortune 500 and 50th on the Fortune Global 500. In 2023, the company was ranked 70th in the Forbes Global 2000."
Nippon Tel & Tel;Telecommunications services;"The Nippon Telegraph and Telephone Corporation (NTT) is a Japanese telecommunications holding company headquartered in Tokyo, Japan. Ranked 55th in Fortune Global 500, NTT is the fourth largest telecommunications company in the world in terms of revenue, as well as the third largest publicly traded company in Japan after Toyota and Sony, as of June 2022. In 2023, the company was ranked 56th in the Forbes Global 2000. NTT was the world's largest company by market capitalization in the late 1980s, and remained among the world's top 10 largest companies by market capitalization until the burst of the Dot-com bubble in the early 2000s.
The company traces its origin to the national telegraph service established in 1868, which came under the purview of the Ministry of Communications in the 1880s. In 1952, the telegraph and telephone services were spun off as the government-owned Nippon Telegraph and Telephone Public Corporation (日本電信電話公社, Nippon Denshin Denwa Kōsha, shortened to Den-Den Kōsha (電電公社)). Under Prime Minister Yasuhiro Nakasone, the company was privatised in 1985 along with the Japanese National Railways and the Japan Tobacco and Salt Public Corporation, adopting the current name. While NTT has been listed on the Tokyo Stock Exchange since 1985, the Japanese government still owns roughly one-third of NTT's shares, regulated by the NTT Law.
The company is incorporated pursuant to the NTT Law (Law Concerning Nippon Telegraph and Telephone Corporation, Etc.). The purpose of the company defined by the law is to own all the shares issued by Nippon Telegraph and Telephone East Corporation (NTT East) and Nippon Telegraph and Telephone West Corporation (NTT West) and to ensure proper and stable provision of telecommunications services all over Japan including remote rural areas by these companies as well as to conduct research relating to the telecommunications technologies that will form the foundation for telecommunications."
Microsoft;Software & services;"Microsoft Corporation is an American multinational corporation and technology conglomerate headquartered in Redmond, Washington. Founded in 1975, the company became influential in the rise of personal computers through software like Windows, and the company has since expanded to Internet services, cloud computing, video gaming and other fields. Microsoft is the largest software maker, one of the most valuable public U.S. companies, and one of the most valuable brands globally.
Microsoft was founded by Bill Gates and Paul Allen to develop and sell BASIC interpreters for the Altair 8800. It rose to dominate the personal computer operating system market with MS-DOS in the mid-1980s, followed by Windows. During the 41 years from 1980 to 2021 Microsoft released 9 versions of MS-DOS with a median frequency of 2 years, and 13 versions of Windows with a median frequency of 3 years. The company's 1986 initial public offering (IPO) and subsequent rise in its share price created three billionaires and an estimated 12,000 millionaires among Microsoft employees. Since the 1990s, it has increasingly diversified from the operating system market. Steve Ballmer replaced Gates as CEO in 2000.  He oversaw the then-largest of Microsoft's corporate acquisitions in Skype Technologies in 2011, and an increased focus on hardware that led to its first in-house PC line, the Surface, in 2012, and the formation of Microsoft Mobile through Nokia."
Nestle;Food drink & tobacco;"A nest is a structure built for certain animals to hold eggs or young.  Although nests are most closely associated with birds, members of all classes of vertebrates and some invertebrates construct nests.  They may be composed of organic material such as twigs, grass, and leaves, or may be a simple depression in the ground, or a hole in a rock, tree, or building. Human-made materials, such as string, plastic, cloth, or paper, may also be used. Nests can be found in all types of habitat.
Nest building is driven by a biological urge known as the nesting instinct in birds and mammals. Generally each species has a distinctive style of nest.  Nest complexity is roughly correlated with the level of parental care by adults.  Nest building is considered a key adaptive advantage among birds, and they exhibit the most variation in their nests ranging from simple holes in the ground to elaborate communal nests hosting hundreds of individuals.  Nests of prairie dogs and several social insects can host millions of individuals."
SBC Communications;Telecommunications services;"All Terrain Walkers are armored fighting vehicles from the Star Wars universe that traverse the landscape on mechanical legs. They are used by the Old Republic, the Galactic Empire, and the First Order for ground assault, reconnaissance or transport. Throughout the saga walkers have played a pivotal role in the fate of characters and the outcome of battles. Industrial Light and Magic (ILM) is responsible for their animation and design, often using models, stop-motion animation, and relevant matte paintings to depict their presence in the films.
There are a variety of walkers: The Empire Strikes Back and Return of the Jedi introduced the All Terrain Armored Transport (AT-AT) and All Terrain Scout Transport (AT-ST).  Star Wars: Episode II – Attack of the Clones, Star Wars: Episode III – Revenge of the Sith and The Clone Wars introduced earlier Clone Wars-era models of walkers, such as the All-Terrain Tactical Enforcer (AT-TE), and the All Terrain Recon Transports (AT-RT). The Star Wars Legends continuity features numerous walker variants, several which have been merchandised in popular culture, while the later films Rogue One and Star Wars: The Last Jedi depicted, respectively, the former the AT-ACT variant to the standard AT-AT, the latter a restyled AT-AT for its new and more modern setting, and a new, even larger walker known as the AT-M6.


== All Terrain Armored Transport (AT-AT) ==

The All Terrain Armored Transport (AT-AT) is a quadruped mechanized infantry combat vehicle used by Imperial ground forces.
The AT-AT (pronounced either casually as 'at at', or using only the letters 'A.T. A.T.') was first introduced in The Empire Strikes Back (as the Galactic Empire's main units against Rebel Alliance infantry during the Battle of Hoth) and also appears in Return of the Jedi and in Rogue One (in the AT-ACT variant). 
The AT-AT also appears in a destroyed form in Star Wars: The Force Awakens, explained in the video game Star Wars Battlefront (2015) to be a residue of the Battle of Jakku, which was the Empire's last defeat and resulted in its dissolution, where Rey uses its husk for shelter."
Deutsche Bank Group;Diversified financials;"The Deutsche Mark (German: [ˈdɔʏtʃə ˈmaʁk] ; ""German mark""), abbreviated ""DM"" or ""D-Mark"" ([ˈdeːˌmaʁk] ), was the official currency of West Germany from 1948 until 1990 and later the unified Germany from 1990 until the adoption of the euro in 2002. In English, it was typically called the ""Deutschmark"" ( DOYTCH-mark). One Deutsche Mark was divided into 100 pfennigs.
It was first issued under Allied occupation in 1948 to replace the Reichsmark and served as the Federal Republic of Germany's official currency from its founding the following year. On 31 December 1998, the Council of the European Union fixed the irrevocable exchange rate, effective 1 January 1999, for German mark to euros as DM 1.95583 = €1. In 1999, the Deutsche Mark was replaced by the euro; its coins and banknotes remained in circulation, defined in terms of euros, until the introduction of euro notes and coins on 1 January 2002. The Deutsche Mark ceased to be legal tender immediately upon the introduction of the euro—in contrast to the other eurozone states, where the euro and legacy currency circulated side by side for up to two months. Mark coins and banknotes continued to be accepted as valid forms of payment in Germany until 1 March 2002.
The Deutsche Bundesbank has guaranteed that all German marks in cash form may be changed into euros indefinitely, and one may do so in person at any branch of the Bundesbank in Germany. Banknotes and coins can even be sent to the Bundesbank by mail."
Siemens Group;Conglomerates;"Siemens AG (German pronunciation: [ˈziːməns]  or [-mɛns]) is a German multinational technology conglomerate. It is focused on industrial automation, building automation, rail transport and health technology. Siemens is the largest engineering company in Europe, and holds the position of global market leader in industrial automation and industrial software.
The origins of the conglomerate can be traced back to 1847 to the Telegraphen Bau-Anstalt von Siemens & Halske established in Berlin by Werner von Siemens and Johann Georg Halske. In 1966, the present-day corporation emerged from the merger of three companies: Siemens & Halske, Siemens-Schuckert, and Siemens-Reiniger-Werke. Today headquartered in Munich and Berlin, Siemens and its subsidiaries employ approximately 320,000 people worldwide and reported a global revenue of around €78 billion in 2023. The company is a component of the DAX and Euro Stoxx 50 stock market indices. As of December 2023, Siemens is the second largest German company by market capitalization.
As of 2023, the principal divisions of Siemens are Digital Industries, Smart Infrastructure, Mobility, and Financial Services, with Siemens Mobility operating as an independent entity. Major business divisions that were once part of Siemens before being spun off include semiconductor manufacturer Infineon Technologies (1999), Siemens Mobile (2005), Gigaset Communications (2008), the photonics business Osram (2013), Siemens Healthineers (2017), and Siemens Energy (2020)."
HBOS;Banking;"HBOS plc is a banking and insurance company in the United Kingdom, a wholly owned subsidiary of the Lloyds Banking Group, having been taken over in January 2009. It was the holding company for Bank of Scotland plc, which operated the Bank of Scotland and Halifax brands in the UK, as well as HBOS Australia and HBOS Insurance & Investment Group Limited, the group's insurance division.
HBOS was formed by the 2001 merger of Halifax plc and the Bank of Scotland. The formation of HBOS was heralded as creating a fifth force in British banking as it created a company of comparable size and stature to the established Big Four UK retail banks. It was also the UK's largest mortgage lender. The HBOS Group Reorganisation Act 2006 saw the transfer of Halifax plc and Capital Bank plc to the Bank of Scotland, which had by then become a registered public limited company, Bank of Scotland plc.
Although officially HBOS was not an acronym of any specific words, it is widely presumed to stand for Halifax Bank of Scotland. The corporate headquarters of the group were located on The Mound in Edinburgh, Scotland, the former head office of the Bank of Scotland. Its operational headquarters were in Halifax, West Yorkshire, England, the former head office of Halifax.
On 19 January 2009, the group was acquired by Lloyds TSB and became a subsidiary of Lloyds Banking Group after both sets of shareholders approved the deal."
ENI;Oil & gas operations;Enid is an unincorporated community located in Tallahatchie County, Mississippi, United States. Enid is located near U.S. Highway 51 approximately 7 miles (11 km) north of Oakland, Mississippi and approximately 9 miles (14 km) south of Pope, Mississippi.
ConocoPhillips;Oil & gas operations;"ConocoPhillips Company is an American multinational corporation engaged in hydrocarbon exploration and production. It is based in the Energy Corridor district of Houston, Texas.
The company has operations in 15 countries and has production in the United States (49% of 2019 production), Norway (10% of 2019 production), Canada (5% of 2019 production), Australia (12% of 2019 production), Indonesia (4% of 2019 production), Malaysia (4% of 2019 production), Libya (3% of 2019 production), China (3% of 2019 production), and Qatar (6% of 2019 production). The company's production in the United States included production in Alaska, the Eagle Ford Group, the Permian Basin, the Bakken Formation, the Gulf of Mexico and the Anadarko Basin. Approximately one-third of the company's U.S. production is in Alaska, where it has operations in the Cook Inlet Area, the Alpine oil field off the Colville River, and the Kuparuk oil field and Prudhoe Bay Oil Field on the Alaska North Slope.
As of December 31, 2023, the company had proved reserves of 6,758 million barrels of oil equivalent (4.134×1010 GJ), of which 46% was petroleum, 34% was natural gas, 14% was natural gas liquids and 6% was bitumen.
The company is ranked 156th on the Fortune 500. In the 2023 Forbes Global 2000, ConocoPhillips was ranked as the 83rd-largest public company in the world. ConocoPhillips also ranked 207th on Forbes Best Employers for Diversity (2021), 125th on Forbes America's Best Employers (2021) and 76 on Forbes Canada's Best Employers (2021).
The company was ranked as the 14th most polluting company in the world by The Guardian in 2019."
Banco Santander Central;Banking;"Banco Santander S.A. trading as Santander Group (UK:  SAN-tən-DAIR, -⁠tan-, US:  SAHN-tahn-DAIR, Spanish: [ˈbaŋko santanˈdeɾ]), is a Spanish multinational financial services company based in Santander, with operative offices in Madrid. Additionally, Santander maintains a presence in most global financial centres as the 14th-largest banking institution in the world. Although known for its European banking operations, it has extended operations across North and South America, and more recently in continental Asia. It is considered a systemically important bank by the Financial Stability Board.  
Many subsidiaries, such as Abbey National, have been rebranded under the Santander name. The company is a component of the Euro Stoxx 50 stock market index. In June 2023, Santander was ranked as 49th in the Forbes Global 2000 list of the world's biggest public companies.
Banco Santander is chaired by Ana Patricia Botín-Sanz de Sautuola O'Shea, daughter and granddaughter of former chairmen Emilio Botin-Sanz de Sautuola y García de los Ríos and Emilio Botín-Sanz de Sautuola López, respectively.
Santander has been designated as a Significant Institution since the entry into force of European Banking Supervision in late 2014, and as a consequence is directly supervised by the European Central Bank.


== History ==
Banco Santander was founded in 1857 as Banco de Santander."
